Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)

The Shawshank Redemption,1994,R,142,9.3,80,Drama,NA,NA,28.34

The Dark Knight,2008,PG-13,152,9.0,84,Action,Crime,Drama,534.86

Inception,2010,PG-13,148,8.8,74,Action,Adventure,Sci-Fi,292.58

Fight Club,1999,R,139,8.8,66,Drama,NA,NA,37.03

Pulp Fiction,1994,17+,154,8.9,94,Crime,Drama,NA,107.93

Forrest Gump,1994,PG-13,142,8.8,82,Drama,Romance,NA,330.25

The Matrix,1999,R,136,8.7,73,Action,Sci-Fi,NA,171.48

The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,8.8,92,Action,Adventure,Drama,315.54

The Lord of the Rings: The Return of the King,2003,PG-13,201,8.9,94,Action,Adventure,Drama,377.85

The Godfather,1972,NA,175,9.2,100,Crime,Drama,NA,134.97

The Dark Knight Rises,2012,PG-13,164,8.4,78,Action,Adventure,NA,448.14

Interstellar,2014,PG-13,169,8.6,74,Adventure,Drama,Sci-Fi,188.02

The Lord of the Rings: The Two Towers,2002,PG-13,179,8.7,87,Action,Adventure,Drama,342.55

Se7en,1995,R,127,8.6,65,Crime,Drama,Mystery,100.13

Django Unchained,2012,21+,165,8.4,81,Drama,Western,NA,162.81

Gladiator,2000,R,155,8.5,67,Action,Adventure,Drama,187.71

Batman Begins,2005,D,140,8.2,70,Action,Adventure,NA,206.85

The Silence of the Lambs,1991,NA,118,8.6,85,Crime,Drama,Thriller,130.74

The Avengers,2012,17+,143,8.0,69,Action,Adventure,Sci-Fi,623.28

Inglourious Basterds,2009,17+,153,8.3,69,Adventure,Drama,War,120.54

Saving Private Ryan,1998,R,169,8.6,91,Drama,War,NA,216.54

Star Wars,1977,PG,121,8.6,90,Action,Adventure,Fantasy,322.74

Schindler's List,1993,R,195,8.9,94,Biography,Drama,History,96.90

The Departed,2006,R,151,8.5,85,Crime,Drama,Thriller,132.38

The Prestige,2006,PG-13,130,8.5,66,Drama,Mystery,Sci-Fi,53.09

The Wolf of Wall Street,2013,21+,180,8.2,75,Biography,Crime,Drama,116.90

Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,8.7,82,Action,Adventure,Fantasy,290.48

The Green Mile,1999,R,189,8.6,61,Crime,Drama,Fantasy,136.80

The Godfather: Part II,1974,NA,202,9.0,90,Crime,Drama,NA,57.30

Shutter Island,2010,R,138,8.2,63,Mystery,Thriller,NA,128.01

Memento,2000,R,113,8.4,80,Mystery,Thriller,NA,25.54

Avatar,2009,PG-13,162,7.8,83,Action,Adventure,Fantasy,760.51

American Beauty,1999,R,122,8.3,84,Drama,NA,NA,130.10

Back to the Future,1985,NA,116,8.5,87,Adventure,Comedy,Sci-Fi,210.61

Titanic,1997,PG-13,194,7.8,75,Drama,Romance,NA,659.33

Guardians of the Galaxy,2014,PG-13,121,8.0,76,Action,Adventure,Comedy,333.18

American History X,1998,R,119,8.5,62,Drama,NA,NA,6.72

V for Vendetta,2005,R,132,8.2,62,Action,Drama,Sci-Fi,70.51

L�on,1994,R,110,8.5,64,Action,Crime,Drama,19.50

Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,8.0,63,Action,Adventure,Fantasy,305.41

Goodfellas,1990,NA,146,8.7,90,Biography,Crime,Drama,46.84

Kill Bill: Vol. 1,2003,21+,111,8.1,69,Action,Crime,Thriller,70.10

WALL�E,2008,NA,98,8.4,95,Animation,Adventure,Family,223.81

Terminator 2: Judgment Day,1991,R,137,8.5,75,Action,Sci-Fi,NA,204.84

The Usual Suspects,1995,R,106,8.5,77,Crime,Mystery,Thriller,23.34

Braveheart,1995,R,178,8.3,68,Biography,Drama,History,75.60

Finding Nemo,2003,NA,100,8.1,90,Animation,Adventure,Comedy,380.84

Star Wars: Episode VI - Return of the Jedi,1983,PG,131,8.3,58,Action,Adventure,Fantasy,309.13

The Lion King,1994,G,88,8.5,88,Animation,Adventure,Drama,422.78

Iron Man,2008,PG-13,126,7.9,79,Action,Adventure,Sci-Fi,318.41

The Truman Show,1998,PG,103,8.1,90,Comedy,Drama,Sci-Fi,125.62

Up,2009,PG,96,8.2,88,Animation,Adventure,Comedy,293.00

Reservoir Dogs,1992,R,99,8.3,79,Crime,Drama,Thriller,2.83

One Flew Over the Cuckoo's Nest,1975,NA,133,8.7,83,Drama,NA,NA,112.00

Joker,2019,17+,122,8.5,59,Crime,Drama,Thriller,335.45

The Sixth Sense,1999,PG-13,107,8.1,64,Drama,Mystery,Thriller,293.51

Eternal Sunshine of the Spotless Mind,2004,R,108,8.3,89,Drama,Romance,Sci-Fi,34.40

Deadpool,2016,D,108,8.0,65,Action,Adventure,Comedy,363.07

The Shining,1980,NA,146,8.4,66,Drama,Horror,NA,44.02

Toy Story,1995,SU,81,8.3,95,Animation,Adventure,Comedy,191.80

Raiders of the Lost Ark,1981,PG,115,8.4,85,Action,Adventure,NA,248.16

Mad Max: Fury Road,2015,R,120,8.1,90,Action,Adventure,Sci-Fi,154.06

Jurassic Park,1993,PG-13,127,8.1,68,Action,Adventure,Sci-Fi,402.45

